,link,reviews,score,star,short_name
Oasia Hotel Downtown Singapore by Far East Hospitality (SG Clean Certified),"https://www.agoda.com/en-us/oasia-hotel-downtown-singapore-by-far-east-hospitality/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",2023,8.8,4,oasia-hotel-downtown-singapore-by-far-east-hospitality
Champion Hotel,https://www.agoda.com/en-us/champion-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,6615,7.7,0,champion-hotel
Ascott Orchard Singapore (SG Clean Certified),https://www.agoda.com/en-us/ascott-orchard-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-16&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=8efc5f17-0b6a-4fc4-9278-f7ce7c9212c1,2573,8.7,5,ascott-orchard-singapore
"The Ritz-Carlton, Millenia Singapore",https://www.agoda.com/en-us/the-ritz-carlton-millenia-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,2717,9,5,the-ritz-carlton-millenia-singapore
Ascott Raffles Place Singapore,"https://www.agoda.com/en-us/ascott-raffles-place-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",1508,8.7,5,ascott-raffles-place-singapore
The Fullerton Hotel,https://www.agoda.com/en-us/the-fullerton-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,5044,9,5,the-fullerton-hotel
Park 22 Hotel Little India (SG Clean Certified & Staycation Approved),"https://www.agoda.com/en-us/park-22-hotel-little-india/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6",1408,7.8,3,park-22-hotel-little-india
"Aqueen Hotel Paya Lebar (SG Clean, Staycation Approved)",https://www.agoda.com/en-us/aqueen-hotel-paya-lebar/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1852,0,3.5,aqueen-hotel-paya-lebar
The St. Regis Singapore (SG Clean Certified),https://www.agoda.com/en-us/the-st-regis-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1513,8.9,5,the-st-regis-singapore
Orchid Country Club,https://www.agoda.com/en-us/orchid-country-club_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,2237,7.7,4,orchid-country-club_2
"Hotel 1887, The New Opera House","https://www.agoda.com/en-us/hotel-1887/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6",636,7.8,3,hotel-1887
Lloyds Inn,https://www.agoda.com/en-us/lloyds-inn/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-25&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=8fe644ed-b869-4062-afd1-a58b90ebaa8c,2453,8.3,3,lloyds-inn
Village Hotel Bugis by Far East Hospitality (SG Clean Certified),"https://www.agoda.com/en-us/village-hotel-bugis-by-far-east-hospitality/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",12133,7.6,0,village-hotel-bugis-by-far-east-hospitality
The Southbridge Hotel,"https://www.agoda.com/en-us/the-southbridge-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=4,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",3097,0,0,the-southbridge-hotel
ST Signature Lite,https://www.agoda.com/en-us/st-signature-lite/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,61,7.4,3,st-signature-lite
Q Loft Hotels@Bedok (SG Clean Certified),"https://www.agoda.com/en-us/q-loft-hotels-bedok/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",140,7.5,0,q-loft-hotels-bedok
Amrise Hotel,https://www.agoda.com/en-us/amrise-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,4289,6.4,2,amrise-hotel
